Year	Month	Day	Time	End Year	End Month	End Day	End Time	Event	Sentence	Institution	Pollutant
2005	02			2005	02				a_été_réalisé	En février 2005 un fossé d'assainissement provisoire a été réalisé.		
1978				1983					L__exploitation_effective	L'exploitation effective du site s'est déroulée de 1978 à 1983, date à laquelle les investigations de la DRIRE ont révélé la présence de déchets industriels non autorisés à être stockés sur cette décharge.	'déchets industriels'	'la DRIRE'
2016	04	14		2016	04	14			et_une_autre	Une réunion s'est tenue le 29/03/2016 à la sous-Préfecture de Confolens entre les services de l'Etat et les responsables des déchets, et une autre le 14/04/2016, à la Mairie de Roumazières, la collectivité territoriale et les associations pour l'environnement.		'la sous-Préfecture de Confolens', "les services de l' Etat", 'la collectivité territoriale'
2002	07			2002	07				une_première_campagne_de_reconnaissance_géophysique	En ce qui concerne les travaux susvisés, une première campagne de reconnaissance géophysique au droit du site a été réalisée en juillet 2002, de manière à repérer les limites des dépôts sous la géomembrane.		'géomembrane'
2003				2003					Le_bilan_environnemental	Le bilan environnemental de l'année 2003, établi par la société chargée de la surveillance, concluait à l'absence de contamination significative des eaux de ruissellement en sortie de site et de la nappe du Lias calcaire.		
1998				1998					il_n__y_a	Les résultats d'analyses effectuées au cours du premier semestre 2003 permettaient d'établir le bilan environnemental suivant : les eaux de ruissellement en sortie du site ont une minéralisation faible et ne montrent pas de contamination importante (traces de phénols et un peu de DCO); les eaux du tertiaire et des argiles du toarcien présentent un marquage notamment en plomb et en arsenic (même si on peut noter que sur un ouvrage foré dans les argiles et ayant fait l'objet d'analyses en 1998, il n'y a pas d'évolution importante); la nappe du Lias calcaire ne présente pas d'indice de contamination particulier.	'phénols', 'DCO', 'plomb', 'arsenic'	
									ont_fait_l__objet	Ils ont fait l’objet, en décembre, d’une présentation aux membres de la commission d’enquête et de réflexion (visant à l’information des différentes parties prenantes), avec visite du chantier.		
2004	08			2004	08				a_relancé	Par suite, l’inspection a relancé, début août 2004, le représentant de l’exploitant, afin de reprendre dans les meilleurs délais l’engagement des travaux susvisés.		
1998				1998					un_ouvrage_foré	Les résultats d'analyses effectuées au cours du premier semestre 2003 permettaient d'établir le bilan environnemental suivant : les eaux de ruissellement en sortie du site ont une minéralisation faible et ne montrent pas de contamination importante (traces de phénols et un peu de DCO); les eaux du tertiaire et des argiles du toarcien présentent un marquage notamment en plomb et en arsenic (même si on peut noter que sur un ouvrage foré dans les argiles et ayant fait l'objet d'analyses en 1998, il n'y a pas d'évolution importante); la nappe du Lias calcaire ne présente pas d'indice de contamination particulier.	'phénols', 'DCO', 'plomb', 'arsenic'	
2002	12	31		2002	12	31			remettre_en_état	Afin d'y remédier, le préfet a imposé par arrêté du 10/12/2001 des travaux destinés à supprimer ces arrivées d'eau impulsionnelles dans le réceptacle et à remettre en état le fossé périphérique avant le 31/12/2002.		'le préfet'
1980	06	04		1980	06	04			a_été_autorisée	Sur ce site, la société ACODEC a été autorisée le 4 juin 1980 à créer une décharge d'ordures ménagères et de déchets industriels.	"une décharge d' ordures ménagères", 'déchets industriels'	'la société ACODEC'
