0l0l5||Non||0l0l4||Non||Non||Non||Non||['Le SICTOM']||['Syndicat', 'Ordures Ménagères']||Le SICTOM (Syndicat Intercommunal de Collecte et de Traitement des Ordures Ménagères) de Bonneval , Brou et d’Illiers Combray a exploité durant 25 ans une incinération des ordures ménagères au lieu dit « le Ravin » sur le territoire de la commune de DANGEAU.
14l0l8||Non||14l0l4||Non||Non||14l0l7||Non||[]||[]||Les mises aux normes réglementaires fixées par l’arrêté du 25 janvier 1991, aux échéances du 1er décembre 1995 et du 1er décembre 2000 ne pouvant économiquement et techniquement être réalisées, l’exploitation de cette unité d’incinération a été arrêtée le 31 décembre 1998 en conformité avec le plan départemental de restructuration et de modernisation des usines de traitement de déchets.

17l0l2||Non||17l0l0||Non||Non||17l0l1||Non||['le SOMEL']||[]||Une première étude de diagnostic a été réalisée en 1999 par le SOMEL.

25l0l1||Non||25l0l0||Non||Non||Non||Non||[]||[]||Un forage a été réalisé du 10 au 12 juillet 2001 d’une profondeur de 27,50 m.

26l0l2||Non||26l0l1||Non||Non||Non||Non||[]||['mercure']||Suite au prélèvement réalisé en juillet 2001, il a été constaté en aval hydraulique du site, un dépassement de la teneur en mercure par rapport aux valeurs limites de référence.

26l0l2||Non||26l0l3||Non||Non||Non||Non||[]||['mercure']||Suite au prélèvement réalisé en juillet 2001, il a été constaté en aval hydraulique du site, un dépassement de la teneur en mercure par rapport aux valeurs limites de référence.

30l0l4||Non||30l0l2||30l0l0||Non||Non||Non||[]||[]||Un dossier de cessation d'activité a été déposé par l'exploitant le 12 mai 2004 en parallèle à un dossier de demande d'autorisation pour la création d'un nouveau quai de transfert, en lieu et place de l'ancienne usine d'incinération.

32l0l6||Non||32l0l5||Non||Non||Non||Non||[]||[]||Ces dossiers ont fait l'objet de demandes de compléments à l'exploitant par courrier du Préfet du 03 février 2005 et ont été complétés le 10 mars 2006, notamment par un rapport d’identification des impacts sur l’eau de l’ancienne UIOM de DANGEAU réalisé en novembre 2005.

32l0l11||Non||32l0l10||Non||Non||Non||Non||[]||[]||Ces dossiers ont fait l'objet de demandes de compléments à l'exploitant par courrier du Préfet du 03 février 2005 et ont été complétés le 10 mars 2006, notamment par un rapport d’identification des impacts sur l’eau de l’ancienne UIOM de DANGEAU réalisé en novembre 2005.

33l0l1||Non||33l0l0||Non||Non||Non||Non||['le SOMEL']||[]||Une étude complémentaire a été réalisée en novembre 2006 par le SOMEL pour identifier le contexte hydrogéologique du site, l’impact sur l’eau des anciennes usines d’incinération et proposer des solutions de réaménagement.

34l0l4||Non||34l0l1||Non||Non||34l0l3||Non||[]||['mâchefers']||Quatre forages ont été réalisés en périphérie immédiate du stockage de mâchefers d’une profondeur moyenne de 30 m et trois campagnes de prélèvements ont été effectuées en 2006.

42l0l3||Non||42l0l0||Non||Non||Non||Non||[]||[]||La visite d’inspection du site le 13 juin 2006 a permis de faire les constatations suivantes :

52l0l3||Non||52l0l2||Non||Non||Non||Non||['le SOMEL']||[]||L’avis d’un hydrogéologue agréé a été demandé le 27 juillet 2007 sur les études remise par le SOMEL en novembre 2005 et en novembre 2006.

52l0l6||Non||52l0l4||Non||Non||Non||Non||['le SOMEL']||[]||L’avis d’un hydrogéologue agréé a été demandé le 27 juillet 2007 sur les études remise par le SOMEL en novembre 2005 et en novembre 2006.

52l0l7||Non||52l0l4||Non||Non||Non||Non||['le SOMEL']||[]||L’avis d’un hydrogéologue agréé a été demandé le 27 juillet 2007 sur les études remise par le SOMEL en novembre 2005 et en novembre 2006.

56l0l3||Non||56l0l0||Non||Non||56l0l2||56l0l1||[]||[]||Une analyse des eaux souterraines a été effectuée en 2008 et 2009 au niveau des quatre piézomètres implantés sur le site et localisés à proximité du stockage de mâchefers, les paramètres analysés sont les suivants :

63l0l0||Non||63l0l1||Non||Non||Non||Non||[]||[]||Lors de la visite d’inspection du 22 avril 2010, l’inspection a pu constater que le stock de mâchefers était toujours en place et qu’il n’était pas clôturé.

63l0l2||Non||63l0l1||Non||Non||Non||Non||[]||[]||Lors de la visite d’inspection du 22 avril 2010, l’inspection a pu constater que le stock de mâchefers était toujours en place et qu’il n’était pas clôturé.

