3l0l2||3l0l0||3l0l1||Non||Non||Non||Non||['Union Générale de Distribution des Produits Pétroliers']||['liquides inflammables', 'supercarburant', 'carburant auto', 'gazole']||La station-service a débuté son exploitation en 1967, avec l’exploitation d’un dépôt mixte souterrain de liquides inflammables de 30 m3 (12 m3 de supercarburant, 10 m3 de carburant auto et 8 m3 de gazole), déclaré par l’Union Générale de Distribution des Produits Pétroliers.
25l0l2||Non||25l0l1||Non||Non||Non||Non||[]||[]||Lors de la campagne du 28 avril 2015, les résultats des analyses effectuées sur les piézomètres ont mis en évidence :

32l0l1||Non||32l0l0||Non||Non||Non||Non||[]||[]||Par conséquent un arrêt volontaire du traitement a été réalisé le 06/01/2015.

39l0l5||Non||39l0l2||39l0l6||Non||Non||Non||['La DIRIF']||[]||La DIRIF lui a fait part du commencement des travaux préparatoires au projet de déviation en février 2016, qui seront suivis du dégagement complet des emprises dès le mois de mai 2016.

39l0l8||39l0l0||39l0l1||Non||Non||Non||Non||['La DIRIF']||[]||La DIRIF lui a fait part du commencement des travaux préparatoires au projet de déviation en février 2016, qui seront suivis du dégagement complet des emprises dès le mois de mai 2016.

39l0l8||39l1l0||39l0l1||Non||Non||Non||Non||['La DIRIF']||[]||La DIRIF lui a fait part du commencement des travaux préparatoires au projet de déviation en février 2016, qui seront suivis du dégagement complet des emprises dès le mois de mai 2016.

40l0l6||40l0l0||40l0l1||40l0l2||Non||Non||Non||[]||[]||Par conséquent l’exploitant va retirer l’unité de traitement et les travaux complémentaires, prévus par courrier du 21/09/2015, seront réalisés d’ici le mois de février 2016.

40l0l6||Non||40l0l5||Non||Non||Non||Non||[]||[]||Par conséquent l’exploitant va retirer l’unité de traitement et les travaux complémentaires, prévus par courrier du 21/09/2015, seront réalisés d’ici le mois de février 2016.

42l0l0||42l0l3||42l0l4||Non||Non||Non||Non||[]||[]||Lors de la campagne de mesures du 16/12/2015, l’unité de traitement était à l’arrêt depuis près d’un an.

42l0l0||Non||42l0l1||Non||Non||Non||Non||[]||[]||Lors de la campagne de mesures du 16/12/2015, l’unité de traitement était à l’arrêt depuis près d’un an.

42l0l2||Non||42l0l1||Non||Non||Non||Non||[]||[]||Lors de la campagne de mesures du 16/12/2015, l’unité de traitement était à l’arrêt depuis près d’un an.

42l0l5||42l0l3||42l0l4||Non||Non||Non||Non||[]||[]||Lors de la campagne de mesures du 16/12/2015, l’unité de traitement était à l’arrêt depuis près d’un an.

45l0l2||Non||45l0l1||Non||Non||Non||Non||[]||['benzène']||Lors de la campagne de mesures du 01/03/2016, les résultats des analyses ont mis en évidence un léger impact résiduel en benzène (3,97 µg/l), en amont immédiat des anciennes installations de distribution et du parc à cuves (PZ7).

47l0l4||Non||47l0l3||Non||Non||Non||Non||[]||['HAP', 'naphtalène']||Elle s’accompagne d’une diminution des teneurs en HAP et notamment du naphtalène, mesurées depuis février 2015, et qui ne sont présents, en mars 2016, qu’à l’état de traces.

49l0l3||Non||49l0l2||Non||Non||Non||Non||[]||['hydrocarbures', 'BTEX', 'HAP']||De plus, selon le bureau d'études, l’excavation et évacuation des terres polluées prévues en février 2016, devraient entrainer une nouvelle baisse des teneurs en hydrocarbures, BTEX et HAP dans les eaux souterraines du site.

49l0l3||Non||49l0l4||Non||Non||Non||Non||[]||['hydrocarbures', 'BTEX', 'HAP']||De plus, selon le bureau d'études, l’excavation et évacuation des terres polluées prévues en février 2016, devraient entrainer une nouvelle baisse des teneurs en hydrocarbures, BTEX et HAP dans les eaux souterraines du site.

51l0l7||Non||51l0l0||Non||Non||51l0l2||Non||[]||[]||Une dépollution complémentaire au niveau de la fouille 9, a été rendue possible suite au repli de l’unité de traitement in situ, réalisé le 21/01/2016.

51l0l7||Non||51l0l4||Non||Non||51l0l6||51l0l5||[]||[]||Une dépollution complémentaire au niveau de la fouille 9, a été rendue possible suite au repli de l’unité de traitement in situ, réalisé le 21/01/2016.

53l0l2||Non||53l0l1||Non||Non||Non||Non||[]||[]||Le fond de fouille qui présentait une pollution résiduelle de 17 000 mg/kg après les travaux d’excavation de 2013, a été repris.

53l0l2||Non||53l0l3||Non||Non||Non||Non||[]||[]||Le fond de fouille qui présentait une pollution résiduelle de 17 000 mg/kg après les travaux d’excavation de 2013, a été repris.

54l0l3||Non||54l0l0||Non||Non||54l0l2||Non||[]||[]||Les travaux d’excavation, de remblaiement et de compactage ont débuté le 15/02/2016.

