
#33.0245
#Ancienne déposante de matières de vidanges, de décharge de boues de stations et de résidus organiques provenant d'entreprises privées (stockés en fosse) et installation de traitement de déchets organiques liquides et pâteux, située lieu dit " Les Cabanasses" sur la commune de SAINT SELVE (33).

0l0l0	Ancienne	R
#Le diagnostic et l’Évaluation Simplifiée des Risques (ESR) du site sont remis par la Société BURGEAP le 11 juin 2004.

7l0l0	Le_diagnostic	N
7l0l1	Évaluation_Simplifiée_des_Risques	N
7l0l2	du_site	O
7l0l3	sont_remis	N
7l0l4	la_Société_BURGEAP	O
7l0l5	le_11_juin_2004__	T
7l1l0	la_Société_BURGEAP	I

#L'étude montre que les concentrations des sols de la déposante en Hydrocarbures Totaux (HCTX), Hydrocarbures Aromatiques Polycycliques (HAP), 8 métaux toxiques et Pentachlorobiphényles (PCB) sont inférieures aux valeurs seuils analytiques.

8l0l0	les_concentrations	O
8l0l1	la_déposante	O
8l1l0	Hydrocarbures_Totaux	S
8l1l1	HCTX	S
8l1l2	Hydrocarbures_Aromatiques_Polycycliques	S
8l1l3	HAP	S
8l1l4	8_métaux_toxiques	U
8l1l5	Pentachlorobiphényles	S
8l1l6	PCB	S

#Les analyses effectuées sur les eaux de la nappe captive du Stampien concluent également à des teneurs en dessous des seuils de détection pour ces mêmes paramètres.

9l0l0	Les_analyses_effectuées	N
9l0l1	les_eaux	O

#Les sols et la nappe ne semblent pas être impactés.


#Cependant l'activité du site a probablement une influence sur le faciès bactériologique du sol et de la nappe.


#2 - TRAVAUX

12l0l0	TRAVAUX	O
12l1l0	TRAVAUX	I

#L'arrêté préfectoral du 8 août 2005 prescrit au G.

13l0l0	L__arrêté_préfectoral	O
13l0l1	8_août_2005	T
13l0l2	prescrit	N

#.D, la remise en état du site par la réalisation des travaux suivants :

14l0l0	la_remise_en_état	N
14l0l1	la_réalisation_des_travaux	N

#- démantèlement des infrastructures ( démolition des structures et des équipements),

15l0l0	démantèlement	N
15l0l1	des_infrastructures	O
15l0l2	démolition_des_structures	N

#- élimination des déchets liquides et pâteux dans les installations autorisées.

16l0l0	élimination	N
16l0l1	pâteux	O
16l1l0	des_déchets_liquides	U

#Les zones de dépôt et de stockage de déchets doivent être, soit excavées jusqu'au terrain naturel et éliminées, soit confinées sur site,

17l0l0	Les_zones	O
17l0l1	éliminées	N
17l1l0	stockage_de_déchets	U

#- entretien de la zone (ensemencée de graminées rustiques, débroussaillage régulier, interdiction de planter des arbres ou des arbustes dans cette zone, curage des fossés, etc.),

18l0l0	entretien	N
18l0l1	la_zone	O
18l0l2	ensemencée	N
18l0l3	de_graminées	A
18l0l4	débroussaillage_régulier	N
18l0l5	interdiction_de_planter_des_arbres	N
18l0l6	curage_des_fossés	N

#- mise en place d'une clôture rigide, d'un portail fermé à clefs, de panneaux interdisant l'accès aux personnes non autorisées.

19l0l0	mise_en_place_d_	N
19l0l1	une_clôture_rigide	O

#Le 26 décembre 2007, la DRIRE constate la réalisation des travaux de remise en état par l'EURL Lamaud sous la maîtrise d’œuvre d'Arcadis.

20l0l0	Le_26_décembre_2007__	T
20l0l1	la_DRIRE_constate	O
20l0l2	la_réalisation_des_travaux_de_remise_en_état	N
20l0l3	l__EURL_Lamaud	O
20l0l4	la_maîtrise_d__œuvre	O
20l0l5	Arcadis	O
20l1l0	la_DRIRE	I

#Ces travaux ont compris la mise en confinement des terres et matériaux issus du démantèlement provenant de la déposante de matières de vidanges, de la décharge de boues de station et de résidus organiques.

21l0l0	Ces_travaux	N
21l0l1	la_mise_en_confinement	N
21l0l2	des_terres	O
21l0l3	démantèlement	N
21l0l4	la_déposante	N
21l0l5	de_matières_de_vidanges	O
21l1l0	boues_de_station	U
21l1l1	résidus_organiques	U

#Le 13 juin 2007, une déclaration de changement d'exploitant est faite pour l'exploitation par la société Terralys.

22l0l0	Le_13_juin_2007__	T
22l0l1	une_déclaration_de_changement	N
22l0l2	d__exploitant	O
22l0l3	est_faite	N
22l0l4	l__exploitation	O
22l0l5	la_société_Terralys	O
22l1l0	la_société_Terralys	I

#3 - SURVEILLANCE DES EAUX SOUTERRAINES

23l0l0	SURVEILLANCE_DES_EAUX	A
23l0l1	SOUTERRAINES	O
23l1l0	SOUTERRAINES	I

#L'arrêté préfectoral du 8 août 2005 prescrit la surveillance trimestrielle des eaux souterraines par 12 piézomètres (7 pour la nappe Plio-quaternaire et 5 pour la nappe du Stampien) dans lesquels on mesure les paramètres suivants:

24l0l0	L__arrêté_préfectoral	O
24l0l1	du_8_août_2005	T
24l0l2	prescrit	N
24l0l3	la_surveillance_trimestrielle	A
24l0l4	des_eaux_souterraines	A

#- pH, Conductivité, Température,

25l1l0	pH	S

#- DCO, DBO5, NH4, NO3, NO2, Sulfates, Chlorures, Potassuim,

26l1l0	DCO	S
26l1l1	DBO5	S
26l1l2	NH4___NO3___NO2___Sulfates	S
26l1l3	Chlorures	S
26l1l4	Potassuim	S

#- Bactéries vérifiables ( à 36°C et 22°C), coliformes totaux et thermotolérants, Escherichia coli, Entérocoques intestinaux, Spores d'anérobies sulfitoréducteurs, bactéries nitrifiantes,

27l1l0	Bactéries	S
27l1l1	coliformes_totaux	S
27l1l2	Escherichia_coli	S
27l1l3	Entérocoques_intestinaux	S
27l1l4	Spores_d__anérobies	S
27l1l5	sulfitoréducteurs	S
27l1l6	bactéries_nitrifiantes	S

#- Arsenic, nickel, plomb, mercure, cadmium, chrome, cuivre, zinc.

28l1l0	Arsenic	S
28l1l1	nickel	S
28l1l2	plomb	S
28l1l3	mercure	S
28l1l4	cadmium	S
28l1l5	chrome	S
28l1l6	cuivre	S
28l1l7	zinc	S

#Les campagnes de mesures de mars, juin, septembre et décembre 2008 confirment globalement les données antérieures, à savoir la présence d’une contamination organique et physico-chimique centrée sur le site, qui s’atténue significativement en aval hydraulique.

29l0l0	Les_campagnes_de_mesures	N
29l0l1	de_mars___juin___septembre_et_décembre_2008	T
29l0l2	atténue	N
29l0l3	en_aval_hydraulique	L

#Il est noté des concentrations en composés physico-chimiques (ammonium, nitrates, sulfates, chlorures et potassium) au droit des ouvrages sur site (en particulier F1) globalement supérieures à celles de l’ouvrage amont hors site F0.

30l1l0	ammonium	S
30l1l1	nitrates	S
30l1l2	sulfates	S
30l1l3	chlorures	S

#Les valeurs sont globalement stables par rapport aux concentrations observées en 2005 et 2006.

31l0l0	en_2005_et_2006__	T

#Les concentrations de F1, F2 et F3 sont globalement similaires, excepté pour les nitrates (plus importante pour F1) et les sulfates (présence centrée sur F1 et F2).

32l0l0	les_nitrates	O
32l1l0	F1	S
32l1l1	les_nitrates	S
32l1l2	F1	S
32l1l3	sulfates	S
32l1l4	F1	S

#Un dépassement des valeurs seuils de potabilité sur toutes les campagnes de 2008 en :

33l0l0	Un_dépassement	N
33l0l1	les_campagnes_de	N
33l0l2	2008	T

#-	ammonium sur F1, F2 et F3,

34l1l0	ammonium	S
34l1l1	sur_F1	I

#-	nitrates sur F1.

35l0l0	nitrates	O
35l1l0	nitrates	S
35l1l1	sur_F1	I

#Une augmentation de la concentration en nitrate est observée durant l’année 2008.

36l0l0	durant_l_	N
36l0l1	année_2008__	T
36l1l0	nitrate	S

#Les concentrations en métaux sont globalement inférieures aux limites de qualité excepté quelques dépassements ponctuels en :

37l0l0	Les_concentrations	O
37l1l0	métaux	S

#-	plomb sur F0,


#-	mercure sur F0, F1, F2 et F4,


#-	arsenic sur F2, F3 et F4.

40l0l0	arsenic	O
40l1l0	arsenic	S

#Les résultats bactériologiques confirment globalement les données antérieures, à savoir une atténuation globale de la contamination bactériologique en aval hors site.

41l0l0	la_contamination	O
41l0l1	bactériologique	N
41l0l2	en_aval_hors_site	L

#Un impact reste constaté sur la qualité de la nappe.

42l0l0	Un_impact	O

#Les campagnes de 2009 révèlent des concentrations plus élevées pour la DBO, DCO, chlorures, sulfates, nitrates, nickel et arsenic au droit du site (sur F1, F2 et F3).

43l0l0	Les_campagnes_de_2009	T
43l1l0	la_DBO	S
43l1l1	DCO	S
43l1l2	chlorures	S
43l1l3	sulfates	S
43l1l4	nitrates	S
43l1l5	nickel	S
43l1l6	arsenic	S

#Les concentrations en nitrates et sulfates sont plus élevées en F1 (augmentation régulière de sulfate de mars à décembre 2009).

44l0l0	nitrates	O
44l0l1	de_mars_à_décembre_2009__	T
44l1l0	nitrates	S
44l1l1	sulfates	S
44l1l2	sulfate	S

#Les concentrations en ammonium et nitrates sont liées aux processus de nitrification et dénitrification (identifiés par Burgeap en 2005).

45l0l0	nitrates	O
45l0l1	identifiés	N
45l1l0	ammonium	S
45l1l1	nitrates	S

#La concentration en métaux est inférieure aux limites de qualité exceptés des dépassements ponctuels :


#-	plomb sur F0,


#-	arsenic sur F2 et F3,

48l0l0	arsenic	O
48l1l0	arsenic	S

#-	nickel sur F1, F2 et F3.


#Une atténuation significative des concentrations pour chacun des paramètres analysés est observée pour le F4.

50l1l0	le_F4	I

#D’une manière générale, les campagnes de 2010 et 2011 ont relevées des concentrations au droit des ouvrages extérieurs au site faibles par rapport à celles observées pour les forages F1 et F2 pour les paramètres physico-chimiques.

51l0l0	les_campagnes	N
51l0l1	de_2010_et_2011	T
51l0l2	au_droit_des_ouvrages_extérieurs_au_site	L
51l0l3	les_forages	N

#En revanche, les analyses micro-biologiques présentent des concentrations plus importantes au droit des forages F0, F3 et F4.


#Les activités sur le site ne présentent pas d’impacts significatif sur la nappe en dehors des limites de l’usine.

53l0l0	Les_activités	N
53l0l1	dehors_des_limites_de_l__usine	L

#Lors des campagnes de 2008 à 2011, les ouvrages captant la nappe du Plio-Quaternaire étaient secs.

54l0l0	Lors	T
54l0l1	des_campagnes	N
54l0l2	de_2008_à_2011__	T
54l0l3	les_ouvrages	O
54l0l4	captant	A

#4 - RESTRICTIONS D'USAGE

55l0l0	USAGE	O

#L'arrêté préfectoral du 8 Août 2005 institue les interdictions suivantes :

56l0l0	L__arrêté_préfectoral	O
56l0l1	8_Août_2005	T
56l0l2	institue_les_interdictions	N

#- constructions de toutes natures,


#- de travaux de voirie sauf ceux nécessaires à l'accès du site et à son entretien,


#- de tous travaux d'affouillement, de sondage et de forage,

59l0l0	tous_travaux_d__affouillement	N

#- de cultures agricoles et potagères.

60l0l0	cultures_agricoles	N

#Ces interdictions doivent être publiées dans le délai de 1 an au registre des hypothèques selon une procédure laissée au choix de l'exploitant.

61l0l0	Ces_interdictions	N
61l0l1	doivent_être_publiées_dans_le	N
61l0l2	délai_de_1_an	T
