
#33.0268
#Ancienne décharge exploitée par la commune de Plassac (33), à partir des années 1972 et ce jusqu’en 1975, au lieu-dit « Le Brouillon ».

0l1l0	Brouillon____	S
10l0l0	2___DIAGNOSTIC	N

#Deux prélèvements d'eaux superficielles ont été réalisés dans le ruisseau du Brouillon, un en section amont de la décharge et l'autre en section aval.

11l0l0	Deux_prélèvements_d__eaux_superficielles_ont_été_réalisés_dans_le_ruisseau_du_Brouillon___un_en_section_amont_de_la_décharge_et_l__autre_en_section_aval__	N

#Deux prélèvements de lixiviats ont été réalisés dans les fouilles.

12l0l0	Deux_prélèvements	O
12l0l1	réalisés_dans_les	N
12l0l2	fouilles__	L

#Ces analyses ont mis en évidence un impact significatif de la décharge sur la qualité du ruisseau, notamment pour les paramètres suivants: coliformes et chlorures.

13l0l0	Ces_analyses_ont_mis_en_évidence	O
13l0l1	un_impact_significatif	N

#3 - TRAVAUX


#Sur proposition de la DRIRE du 6 mai 2009, l'arrêté préfectoral du 16/06/2009 prescrit les travaux de remise en état suivants:

15l0l0	Sur_proposition_de_la_DRIRE_du_6_mai_2009___l__arrêté_préfectoral_du_16_06_2009_prescrit_les_travaux_de_remise_en_état_suivants__	O
15l1l0	Sur_proposition_de_la_DRIRE_du_6_mai_2009___l__arrêté_préfectoral_du_16_06_2009_prescrit_les_travaux_de_remise_en_état_suivants__	I

#- le reprofilage des zones de stockage :

16l0l0	des_zones_de	O
16l0l1	stockage__	T
16l1l0	des_zones_de	I

#. soit en dôme de pente d’au moins 3%,

17l0l0	soit_en_dôme_de_pente	N

#. soit en terrain plan incliné de pente suffisante permettant le ruissellement des eaux pluviales dans le ruisseau « le Brouillon »,


#- la mise en place d’une couverture de type peu perméable (ex : argile) sur le massif de déchets;


#- la réalisation de fossés périphériques permettant de récupérer les eaux pluviales et de les acheminer vers un fossé extérieur si la solution du dôme est retenue ;

20l0l0	la_réalisation_de_fossés_périphériques	N
20l0l1	eaux_pluviales_et_de_les	O

#- le recouvrement avec au moins 0,3 m de terre végétale et l’engazonnement des zones de stockages reprofilées ;

21l0l0	le_recouvrement	N
21l0l1	avec_au_moins_0_3_m_de_terre	O
21l0l2	_	O

#- l’entretien régulier du site.


#La zone de stockage devra être clôturée sur toute sa périphérie.

23l0l0	zone_de_stockage_devra_être_clôturée	O

#4.


#UIVI DES EAUX SUPERFICIELLES


#l'arrêté préfectoral du 16/06/2009 prescrit la surveillance semestrielle des eaux du ruisseau du Brouillon.

26l0l0	arrêté_préfectoral_du_16_06_2009_prescrit_la_surveillance_semestrielle_des_eaux_du_ruisseau_du_Brouillon__	O
26l1l0	l__arrêté_préfectoral_du_16_06_2009_prescrit_la_surveillance_semestrielle_des_eaux_du_ruisseau_du_Brouillon__	I

#5 - RESTRICTIONS D'USAGE

27l0l0	5___RESTRICTIONS_D__USAGE	O

#L'arrêté du 16/06/2009 soumet l’emprise des dépôts de déchets aux interdictions ci-après :

28l1l0	16_06_2009_soumet_l__emprise_des_dépôts_de_déchets_aux_interdictions_ci___après__	I

#- de construction de toute nature,

29l0l0	construction_de_toute	T

#- de travaux de voirie sauf ceux nécessaires à l’accès du site et de son entretien,


#- de tous travaux d’affouillement, de sondage et de forage,


#- de cultures agricoles, potagères et de pâturages.

32l0l0	cultures_agricoles___potagères	N
32l0l1	pâturages__	N

#Dans le délai de 1 an à compter de la notification du présent arrêté, ces interdictions feront l’objet d’une inscription au registre des hypothèques (aujourd'hui Service de la publicité foncière) selon une procédure d’institution de servitudes laissée au choix de l’exploitant.

33l0l0	Dans_le_délai_de_1_an_à_compter	N
