
#68.0124
#Suite à la réactualisation des fiches BRGM sur les sites suspects de la région du Dreieckland, la carrière SASAG aux lieux-dits «Eichlag » et « Kleinfeld » sur les communes d’Hégenheim et de St Louis anciennement exploitée par la société FOLTZER a été répertoriée comme dépôt pour lequel la présence de déchets chimiques est avérée ou suspectée.

0l0l0	Suite_à	R
#Le sens d'écoulement de al nappe est orienté vers le Nord-Est.

16l0l0	orienté_vers_le_Nord_Est	N

#La carrière est située dans un périmètre de protection éloignée de captage AEP (captage AEP 445-5X-59 de Hésingue).

17l0l0	La_carrière	O
17l0l1	est_située_dans_un_périmètre_de_protection_éloignée_de_captage_AEP	L
17l0l2	captage_AEP	O
17l0l3	Hésingue	L

#La surveillance de la qualité des eaux souterraines se poursuit depuis 1992.

18l0l0	La_surveillance_de	A
18l0l1	la_qualité_des_eaux_souterraines	O
18l0l2	se_poursuit	N
18l0l3	depuis_1992	T

#Elle était assurée sur 3 puits de surveillance:


#- Amont latéral du site: indice BSS 445-8X-71


#- Aval partie Est de la carrière et partie Est de la zone centrale historiquement remblayée: indice BSS 445-8X-70

21l0l0	Aval_partie_Est_de_la_carrière_et_partie_Est_de_la_zone_centrale_historiquement_remblayée	N

#- Aval du site (et de la zone centrale historiquement remblayée): indice BSS 445-8X-72.

22l0l0	Aval_du_site	L
22l0l1	la	O
22l0l2	zone_centrale_historiquement	L
22l0l3	remblayée	O

#Par AP du 14 janvier 2013, il a été imposé de développer le réseau de surveillance à 5 ouvrages; l'échéance de mise en conformité du réseau de surveillance est au 30 avril2013; le érseau sera constitué de:

23l0l0	14_janvier_2013__	T
23l0l1	il_a_été_imposé	N
23l0l2	de_développer	N
23l0l3	le_réseau_de_surveillance	O
23l0l4	5_ouvrages___l_	O
23l0l5	échéance_de_mise_en_conformité	N
23l0l6	réseau_de_surveillance	O
23l0l7	est_au_30_avril2013	T

#- 2 ouvrages Amont,

24l0l0	2_ouvrages_Amont	O

#- 3 ouvrages "Aval".

25l0l0	Aval__	L

#La fréquence de surveillance Amont est annuelle.


#La fréquence de surveillance Aval- Extrémité Nord est annuelle.

27l0l0	La_fréquence	O
27l0l1	Aval_	O
27l0l2	Extrémité_Nord	L

#La fréquence de surveillance Aval "partie centrale" et Aval "paerie Est" est semestrielle.

28l0l0	La_fréquence	O
28l0l1	surveillance_Aval	O
28l0l2	Aval	O
