Year	Month	Day	Time	End Year	End Month	End Day	End Time	Event	Sentence	Institution	Pollutant
2003	08	20		2003	08	20			Un_pré_diagnostic_environnemental	Un pré-diagnostic environnemental du site a été réalisé par HPC Environnement le 20 août 2003 (rapport HPC-F 2/2.03.0285 a).		'HPC'
				2014					a_été_réalisée	- la deuxième phase des travaux de déconstruction du bâtiment principal (et dépollution de la dalle béton) a été réalisée de février à mai 2014. - la troisième phase des travaux de réhabilitation du site avec imperméabilisation de la dalle béton et aménagements paysagers ont été réalisés en février 2016.		
1994				1994					met_fin	En 1994 le centre de distribution de Tulle d'EDF (désormais intégré à ERDF depuis la création de cette société en 2002), met fin aux activités de réparation des transformateurs.		"le centre de distribution de Tulle d' EDF", 'ERDF'
2014	05	15		2014	05	15			ont_été_échantillonnés	Quatre piézomètres (Pz1, Pz4, Pz5 et Pz6) des six constituant le réseau de surveillance des eaux souterraines et deux points de surveillance de la qualité des eaux superficielles (rivière La Corrèze), à l’amont et à l’aval hydraulique du site (ES1 et ES2) ont été échantillonnés le 15 mai 2014 de façon à évaluer l’impact éventuel du site sur les eaux souterraines et superficielles.		
2017	03	28		2017	03	28			a_établi	L'inspection des installations classées a établi le rapport de fin de travaux en date du 28 mars 2017.		
2016	12			2016	12				a_transmis	EDF a transmis le rapport des travaux en décembre 2016.		'EDF'
2014	11	26		2014	11	26			à_une_réunion	Suite à une réunion de cadrage avec EDF et la mairie le 26 novembre 2014, il a été convenu entre les participants qu’EDF fasse recouvrir la dalle béton par une géomembrane suivant la proposition technique du bureau d'étude ERG Environnement.		'EDF', 'ERG Environnement'
2009	11			2009	11				ont_été_posés	En novembre 2009, 3 piézomètres complémentaires ont été posés en extérieur proche du site EDF (dans le périmètre historique) exploité par ERDF (ex Centre de Distribution de Tulle), 8 sondages et 13 fouilles des sols ont été réalisées.		'ERDF', 'Tulle'
2014	05			2014	05				cette_campagne	Le bureau d'études qui a réalisé cette campagne de mai 2014 a proposé la poursuite de la surveillance de la qualité des eaux souterraines et superficielles du site sur la même base que la surveillance opérée lors de cette campagne.		
1965				1965					installe	En 1965 le centre de distribution de Tulle d'EDF, désormais intégré à Electricité Réseau Distribution France (ERDF), installe sur le site un atelier de réparation de transformateurs électriques comprenant principalement:		"le centre de distribution de Tulle d' EDF", 'ERDF'
1947				1961					L__arrêt_d__exploitation	L'arrêt d'exploitation de l'usine hydroélectrique intervient a priori entre 1947 et 1961.		
2010				2010					a_fait_connaître	En 2010 la mairie de Brive a fait connaître à EDF S.		'EDF S.'
2005	02	18		2005	02	18			a_été_réalisé	Un diagnostic initial - étape B - a été réalisé par ATOS le 18 février 2005 (rapport NT-A4109-RT01) et a fait état :		'ATOS'
2006	01	06		2006	01	06			a_été_réalisé	Une évaluation simplifiée des risques - "passage piétonnier" - a été réalisé par ATOS le 6 janvier 2006 (rapport NT-A5129-RT02).		
2016	02			2016	02				Les_travaux_décrits	Les travaux décrits et prévus dans le document et les plans sus-mentionnés ont été réalisés en février 2016 et ont constitué la phase 3.		
2002				2002					depuis_la_création_de	En 1994 le centre de distribution de Tulle d'EDF (désormais intégré à ERDF depuis la création de cette société en 2002), met fin aux activités de réparation des transformateurs.		"le centre de distribution de Tulle d' EDF", 'ERDF'
2007				2007					Premiers_diagnostics	Premiers diagnostics (avant 2007) :		
2016	02			2016	02				ont_été_réalisés	- la deuxième phase des travaux de déconstruction du bâtiment principal (et dépollution de la dalle béton) a été réalisée de février à mai 2014. - la troisième phase des travaux de réhabilitation du site avec imperméabilisation de la dalle béton et aménagements paysagers ont été réalisés en février 2016.		
2014	11	26		2014	11	26			il_a_été_convenu	Suite à une réunion de cadrage avec EDF et la mairie le 26 novembre 2014, il a été convenu entre les participants qu’EDF fasse recouvrir la dalle béton par une géomembrane suivant la proposition technique du bureau d'étude ERG Environnement.		'EDF', 'ERG Environnement'
2017				2017					doit_déposer	- Direction Immobilière Groupe (DIG) doit déposer pour au plus tard fin 2017, un dossier de demande d’institution de servitudes d'utilité publique (SUP) afin de soumettre tout autre changement ultérieur d’usage à étude préalable.		'Immobilière Groupe ( DIG'
