Year	Month	Day	Time	End Year	End Month	End Day	End Time	Event	Sentence	Institution	Pollutant
2010	06	07		2010	06	07			a_été_signé	Compte tenu de ces éléments mettant en évidence la nécessité de procéder aux travaux permettant de limiter l'impact sur l'environnement, un arrêté préfectoral complémentaire a été signé le 7 juin 2010.		
2010	10	04		2010	10	04			a_donc_été_mis_en	Sur proposition de l'inspection des installations classées, l'exploitant a donc été mis en demeure, par arrêté préfectoral en date du 4 octobre 2010, de se mettre en conformité sous trois mois pour :		
2009				2009					a_été_constatée	Durant l'été 2009, la présence de Polychlorobiphényles (PCB) dans les sédiments des fossés situés à proximité de l'entreprise a été constatée.	'Polychlorobiphényles', 'PCB'	
2011	10	21		2011	10	21			a_chargé	Suite à l'accord du ministère en charge du développement durable, le Préfet a chargé l'ADEME, par arrêté en date du 21 octobre 2011, de procéder à l'exécution des évaluations ou travaux suivants :		'le Préfet'
2010	08	02		2010	08	02			a_été_mis_en	En conséquence et sur proposition de l'inspection des installations classées, l'exploitant a été mis en demeure, par arrêté préfectoral en date du 2 août 2010, de réaliser en particulier des curages complémentaires de fossés.		
2011	06	1		2011	06	1			a_notamment_été_mis_en	Sur proposition de l'inspection des installations classées, le liquidateur judiciaire a notamment été mis en demeure, par arrêté préfectoral du 1er juin 2011, d'évacuer ou éliminer les produits dangereux et les déchets présents sur le site sous un délai d'un mois.	'les produits dangereux'	
2015				2015					la_réouverture	Ces éléments permettront la réouverture en sécurité de l'aire des gens du voyage pour la saison estivale 2015 ;		
2020			ê	2020			ê		Les_travaux_de_confinement_du_site_prescrits	Les travaux de confinement du site prescrits par l'arrêté préfectoral du 12 février 2015 devraient être engagés en 2020.		
2016	09	27		2016	09	27			Un_curage	Un curage du fossé à la sortie du site a été réalisé le 27 septembre 2016 et a permis l'évacuation de 4,4T de sédiments vers un biocentre en vue d'un traitement.		
2011	06	1		2011	06	1			arrêté_de_mise_en_demeure_du	Une visite d'inspection réalisée le 4 juillet 2011 a permis de constater que l'ensemble des échéances de l'arrêté de mise en demeure du 1er juin 2011 n'étaient pas respectées.		
2011	04	13		2011	04	13			une_visite_conjointe	Sans attendre la mise en liquidation judiciaire, une visite conjointe ADEME - DREAL du site THEMEROIL a été réalisée le 13 avril 2011 afin que l'ADEME puisse commencer à travailler sur le contenu des mesures de mise en sécurité à mettre en œuvre qui nécessiteront, avant toute intervention de l'agence, l'accord du ministère en charge du développement durable.		'DREAL', 'THEMEROIL'
2002				2002					Cette_étude	Cette étude, réalisée par ATOS Environnement en 2002, a montré que la pollution reste confinée au site et à son proche aval hydraulique, avec une stabilisation pluriannuelle des paramètres physico-chimiques de caractérisation de la pollution.		
2016	09			2016	09				Une_nouvelle_campagne_a_été_réalisée	Une nouvelle campagne a été réalisée en septembre 2016 , portant sur les sédiments.		
2016	01			2016	01				ont_été_évacués	1,14 T de sédiments ont été évacués en janvier 2016.		
2010	10	04		2010	10	04			une_nouvelle_visite_d__inspection	A l'issue des échéances de mise en conformité fixées par l'arrêté préfectoral de mise en demeure du 4 octobre 2010, une nouvelle visite d'inspection a été diligentée le 12 janvier 2011.		
2016	10	31		2016	10	31			____remise	- au 31 octobre 2016 : remise des études de faisabilité relatives au traitement des sources sols encore actives au droit de la ZEC (mise en place d'un traitement par réduction chimique in-situ et malaxage) et au curage des fossés en aval du site ;		
1994				1994					a_été_imposé	En 1994, le suivi de la nappe a été imposé et le site a été inscrit à l'inventaire des sols pollués (Basol).		
2009	01			2009	01				a_été_mis_en	Suite à une visite d'inspection réalisée en janvier 2009, l'exploitant a été mis en demeure, par arrêté préfectoral du 16 février 2009, de réaliser des travaux sur les rétentions et de procéder à l'analyse périodique des eaux souterraines prévue.		
1984	11	21		1984	11	21			est_règlementé	L'établissement est règlementé par un arrêté préfectoral d'autorisation au titre de la législation ICPE du 21 novembre 1984.		
2009	02	16		2009	02	16			a_été_mis_en	Suite à une visite d'inspection réalisée en janvier 2009, l'exploitant a été mis en demeure, par arrêté préfectoral du 16 février 2009, de réaliser des travaux sur les rétentions et de procéder à l'analyse périodique des eaux souterraines prévue.		
2016	12			2016	12				un_nouveau_diagnostic_est_réalisé	En décembre 2016 , un nouveau diagnostic est réalisé.		
2011	07	22		2011	07	22			un_arrêté_de_consignation	Ce constat a conduit à un arrêté de consignation d'une somme de 850 000 € en date du 22 juillet 2011.		
2009	01			2009	01				une_visite_d__inspection_réalisée	Suite à une visite d'inspection réalisée en janvier 2009, l'exploitant a été mis en demeure, par arrêté préfectoral du 16 février 2009, de réaliser des travaux sur les rétentions et de procéder à l'analyse périodique des eaux souterraines prévue.		
2014				2014					Les_investigations_complémentaires	Les investigations complémentaires réalisées début 2014 sur le site montrent :		
1995				1995					la_mise_en_place_d_	En 1995, il a été imposé la mise en place d'un dispositif empêchant l'extension de la pollution sur le site par pompage à l'aval hydraulique et réintroduction de l'eau pompée.		
1994				1994					a_été_conduite	La dernière étude a été conduite en 1994.		
1971									existe	L'exploitation de la société THEMEROIL existe au lieu-dit "Les mouilles" sur le territoire de la commune de Varennes Le Grand depuis 1971.		'la société THEMEROIL'
