Year	Month	Day	Time	End Year	End Month	End Day	End Time	Event	Sentence	Institution	Pollutant
2012				2012					Des_travaux_de_protection_à_court_terme	Des travaux de protection à court terme du dépôt ont été réalisés en 2012 :		
2014	07			2014	07				ont_été_pris	Par lettre du 13 décembre 2013, le ministre de l'écologie a donné son accord au préfet du Gard pour une nouvelle intervention de l'ADEME ; les arrêtés préfectoraux de travaux d'office et d'occupation des sols ont été pris en juillet 2014 .		'le ministre', 'préfet'
2002				2002					interdire	Les résultats ont conduit à interdire (arrêté municipal du 3 mai 2002) la production et la mise sur le marché de certains fruits et légumes pour l'année 2002.		
2002	02	12		2002	02	12			sa_réunion	Celui-ci a été validé par l’ensemble des acteurs locaux, notamment par le comité syndical du Syndicat Mixte d'Aménagement et de Gestion Hydraulique (SMAGH) des Gardons lors de sa réunion du 12 février 2002, au cours de laquelle il en acceptait la maîtrise d'ouvrage déléguée par la commune.		'le comité syndical du Syndicat Mixte', 'Hydraulique ( SMAGH'
1976	10	25		1976	10	25			a_été_emportée	A la suite de forts orages survenus en septembre et octobre 1976, une partie importante des produits (300 000 t) a été emportée (le 25/10/1976) dans un torrent de boue recouvrant de sables à sulfures les prairies en bordure de l'AMOUS.	'sulfures'	
2002	09			2002	09				les_inondations	Des travaux de mise en sécurité et de restauration des protections hydrauliques détruites par les inondations de 09/2002 ont été réalisés en 2004 par le SMAGE des Gardons avec la participation de Metaleurop.		'le SMAGE des Gardons', 'Metaleurop'
2000				2000					Situation	Situation en 2000:		
2002				2002					le_lancement_des_appels_d__offres_pour_la_réalisation_des_études	Fin 2002 le lancement des appels d'offres pour la réalisation des études n'était pas encore engagé, aussi, sur proposition de l'inspection des installations classées, le préfet a prescrit le 23 septembre 2003 au producteur du dépôt, la SMMP devenue Metaleurop, la mise en sécurité du site et la surveillance des effluents et des eaux.	'effluents'	'le préfet', 'la SMMP devenue Metaleurop'
2010	02	10		2010	02	10			s__est_réunie	Une Commission Locale d'Information et de Surveillance (CLIS) a été créée, et s'est réunie pour la première fois le 10 février 2010.		'Une Commission'
2002	09	09		08	2002	09	09		08		Les_précipitations_exceptionnelles	Les précipitations exceptionnelles des 8 et 9 septembre 2002 ont provoqué plusieurs dégradations brutales dans les ouvrages de protection du dépôt.		
2004	09			2004	09				a_été_suivi	L'AP du 23/09/2003 n'étant pas respecté, celui du 26 février 2004, met en demeure Metaleurop de respecter les mesures prescrites qui présentent un caractère d'urgence; ce dernier AP a été suivi en septembre 2004 d'un AP de consignation.		'Metaleurop'
2013	12	13		2013	12	13			a_donné_son_accord	Par lettre du 13 décembre 2013, le ministre de l'écologie a donné son accord au préfet du Gard pour une nouvelle intervention de l'ADEME ; les arrêtés préfectoraux de travaux d'office et d'occupation des sols ont été pris en juillet 2014 .		'le ministre', 'préfet'
1976	10		09	1976	10		09		la_suite_de_forts_orages_survenus	A la suite de forts orages survenus en septembre et octobre 1976, une partie importante des produits (300 000 t) a été emportée (le 25/10/1976) dans un torrent de boue recouvrant de sables à sulfures les prairies en bordure de l'AMOUS.	'sulfures'	
2007	08			2007	08				a_fait_appel	Metaleurop a fait appel de ce jugement, début août 2007 auprès de la cour administrative d'appel de Marseille.		'Metaleurop', "la cour administrative d' appel de Marseille"
2013	07	16		2013	07	16			Une_réunion_publique	Une réunion publique a été organisée le 16 juillet 2013 .		
2002	09			2002	09				Inondations	Inondations de septembre 2002 et suites:		
2004				2004					Des_travaux_de_mise_en_sécurité	Des travaux de mise en sécurité et de restauration des protections hydrauliques détruites par les inondations de 09/2002 ont été réalisés en 2004 par le SMAGE des Gardons avec la participation de Metaleurop.		'le SMAGE des Gardons', 'Metaleurop'
2007	06	15		2007	06	15			s__est_prononcé	Le tribunal administratif s'est prononcé le 15 juin 2007 par le rejet des requêtes présentées par Metaleurop.		'Le tribunal administratif', 'Metaleurop'
